GEO_ID,NAME,year,total_renters_count,GRAPI_under_15_count,GRAPI_15_to_19.9_count,GRAPI_20_to_24.9_count,GRAPI_25_to_29.9_count,GRAPI_30_to_35_count,GRAPI_35_or_greater_count,GRAPI_unknown_count
1400000US06013355111,Census Tract 3551.11; Contra Costa County; California,2010,88,0,12,10,225,56,,
1400000US06013355112,Census Tract 3551.12; Contra Costa County; California,2010,16,13,0,25,0,0,,
1400000US06013355113,Census Tract 3551.13; Contra Costa County; California,2010,0,16,51,0,32,0,,
1400000US06013355114,"Census Tract 3551.14, Contra Costa County, California",2010,101,64,54,89,222,0,,
1400000US06013355115,Census Tract 3551.15; Contra Costa County; California,2010,89,103,39,116,336,14,,
1400000US06013355116,"Census Tract 3551.16, Contra Costa County, California",2010,19,0,0,0,0,0,,
1400000US06013355117,"Census Tract 3551.17, Contra Costa County, California",2010,22,36,17,0,53,14,,
1400000US06013355200,"Census Tract 3552, Contra Costa County, California",2010,42,31,123,53,191,89,,
1400000US06013355301,"Census Tract 3553.01, Contra Costa County, California",2010,59,44,64,56,58,42,,
1400000US06013355302,Census Tract 3553.02; Contra Costa County; California,2010,0,0,0,0,21,0,,
1400000US06013355304,"Census Tract 3553.04, Contra Costa County, California",2010,39,40,36,22,169,42,,
1400000US06013355306,Census Tract 3553.06; Contra Costa County; California,2010,57,0,0,0,41,16,,
1400000US06013356001,Census Tract 3560.01; Contra Costa County; California,2010,17,24,0,0,153,12,,
1400000US06013356002,Census Tract 3560.02; Contra Costa County; California,2010,43,0,50,0,88,33,,
1400000US06013357000,Census Tract 3570; Contra Costa County; California,2010,108,83,27,0,109,46,,
1400000US06013358000,Census Tract 3580; Contra Costa County; California,2010,38,197,103,69,387,52,,
1400000US06013359102,Census Tract 3591.02; Contra Costa County; California,2010,38,69,81,17,323,11,,
1400000US06013359103,Census Tract 3591.03; Contra Costa County; California,2010,13,110,104,0,179,82,,
1400000US06013359104,Census Tract 3591.04; Contra Costa County; California,2010,22,0,0,68,71,0,,
1400000US06013359105,Census Tract 3591.05; Contra Costa County; California,2010,18,22,0,59,12,31,,
1400000US06013359202,Census Tract 3592.02; Contra Costa County; California,2010,28,17,22,12,88,26,,
1400000US06013359203,Census Tract 3592.03; Contra Costa County; California,2010,34,18,47,47,380,60,,
1400000US06013359204,Census Tract 3592.04; Contra Costa County; California,2010,19,0,17,38,82,23,,
1400000US06013360101,Census Tract 3601.01; Contra Costa County; California,2010,14,48,66,20,134,10,,
1400000US06013360102,Census Tract 3601.02; Contra Costa County; California,2010,0,0,0,0,14,0,,
1400000US06013360200,Census Tract 3602; Contra Costa County; California,2010,20,99,130,66,255,10,,
1400000US06013361000,Census Tract 3610; Contra Costa County; California,2010,73,123,65,101,246,21,,
1400000US06013362000,Census Tract 3620; Contra Costa County; California,2010,13,45,19,11,27,0,,
1400000US06013363000,Census Tract 3630; Contra Costa County; California,2010,100,216,182,118,266,59,,
1400000US06013364002,Census Tract 3640.02; Contra Costa County; California,2010,40,27,15,106,227,11,,
1400000US06013365002,Census Tract 3650.02; Contra Costa County; California,2010,71,42,109,76,363,33,,
1400000US06013365003,Census Tract 3650.03; Contra Costa County; California,2010,300,111,200,176,690,0,,
1400000US06013366001,Census Tract 3660.01; Contra Costa County; California,2010,18,74,72,23,235,33,,
1400000US06013366002,Census Tract 3660.02; Contra Costa County; California,2010,113,43,43,85,369,38,,
1400000US06013367100,Census Tract 3671; Contra Costa County; California,2010,68,104,123,152,331,50,,
1400000US06013367200,Census Tract 3672; Contra Costa County; California,2010,53,51,74,62,302,0,,
1400000US06013368001,Census Tract 3680.01; Contra Costa County; California,2010,23,33,27,31,331,18,,
1400000US06013368002,Census Tract 3680.02; Contra Costa County; California,2010,0,81,95,25,247,0,,
1400000US06013369001,Census Tract 3690.01; Contra Costa County; California,2010,89,101,227,135,949,0,,
1400000US06013369002,Census Tract 3690.02; Contra Costa County; California,2010,35,26,68,0,189,23,,
1400000US06013370000,Census Tract 3700; Contra Costa County; California,2010,35,22,118,0,61,28,,
1400000US06013371000,Census Tract 3710; Contra Costa County; California,2010,34,63,71,75,334,13,,
1400000US06013372000,Census Tract 3720; Contra Costa County; California,2010,36,69,45,0,292,80,,
1400000US06013373000,Census Tract 3730; Contra Costa County; California,2010,25,20,93,37,223,39,,
1400000US06013374000,Census Tract 3740; Contra Costa County; California,2010,34,103,112,49,426,10,,
1400000US06013375000,Census Tract 3750; Contra Costa County; California,2010,39,22,0,131,403,0,,
1400000US06013376000,Census Tract 3760; Contra Costa County; California,2010,79,39,203,150,464,60,,
1400000US06013377000,Census Tract 3770; Contra Costa County; California,2010,26,113,226,25,606,77,,
1400000US06013378000,Census Tract 3780; Contra Costa County; California,2010,23,76,38,96,237,9,,
1400000US06013379000,Census Tract 3790; Contra Costa County; California,2010,96,67,92,91,580,38,,
1400000US06013380000,"Census Tract 3800, Contra Costa County, California",2010,150,214,237,83,400,97,,
1400000US06013381000,Census Tract 3810; Contra Costa County; California,2010,93,158,42,129,517,0,,
1400000US06013382000,Census Tract 3820; Contra Costa County; California,2010,163,199,111,183,701,37,,
1400000US06013383000,Census Tract 3830; Contra Costa County; California,2010,40,48,185,184,337,35,,
1400000US06013384000,Census Tract 3840; Contra Costa County; California,2010,23,11,47,46,7,8,,
1400000US06013385100,Census Tract 3851; Contra Costa County; California,2010,13,14,11,0,59,17,,
1400000US06013385200,Census Tract 3852; Contra Costa County; California,2010,0,0,0,0,0,0,,
1400000US06013386000,Census Tract 3860; Contra Costa County; California,2010,85,85,91,60,569,27,,
1400000US06013387000,Census Tract 3870; Contra Costa County; California,2010,69,50,23,27,215,19,,
1400000US06013388000,Census Tract 3880; Contra Costa County; California,2010,147,28,67,71,169,19,,
1400000US06013389100,Census Tract 3891; Contra Costa County; California,2010,60,47,55,34,205,8,,
1400000US06013389200,Census Tract 3892; Contra Costa County; California,2010,98,58,95,36,299,14,,
1400000US06013390100,Census Tract 3901; Contra Costa County; California,2010,38,30,0,91,28,11,,
1400000US06013390200,Census Tract 3902; Contra Costa County; California,2010,11,8,10,0,39,0,,
1400000US06013391000,Census Tract 3910; Contra Costa County; California,2010,19,37,0,25,37,9,,
1400000US06013392000,Census Tract 3920; Contra Costa County; California,2010,13,22,39,0,16,0,,
1400000US06013392200,"Census Tract 3922, Contra Costa County, California",2010,69,147,193,98,303,10,,
1400000US06013392300,Census Tract 3923; Contra Costa County; California,2010,0,18,13,0,102,8,,
1400000US06013990000,Census Tract 9900; Contra Costa County; California,2010,0,0,0,0,0,0,,
1400000US06013301000,"Census Tract 3010, Contra Costa County, California",2014,88,10,53,0,152,73,,
1400000US06013302005,"Census Tract 3020.05, Contra Costa County, California",2014,47,74,73,44,602,10,,
1400000US06013302006,"Census Tract 3020.06, Contra Costa County, California",2014,20,8,33,12,78,27,,
1400000US06013302007,"Census Tract 3020.07, Contra Costa County, California",2014,72,51,60,34,186,95,,
1400000US06013302008,"Census Tract 3020.08, Contra Costa County, California",2014,103,99,90,59,351,0,,
1400000US06013302009,"Census Tract 3020.09, Contra Costa County, California",2014,119,94,68,44,295,13,,
1400000US06013302010,"Census Tract 3020.10, Contra Costa County, California",2014,45,28,123,0,206,0,,
1400000US06013303102,"Census Tract 3031.02, Contra Costa County, California",2014,76,223,65,82,237,38,,
1400000US06013303103,"Census Tract 3031.03, Contra Costa County, California",2014,189,181,186,189,462,52,,
1400000US06013303201,"Census Tract 3032.01, Contra Costa County, California",2014,120,97,53,109,518,31,,
1400000US06013303202,"Census Tract 3032.02, Contra Costa County, California",2014,13,0,79,74,290,0,,
1400000US06013303203,"Census Tract 3032.03, Contra Costa County, California",2014,57,93,48,19,273,0,,
1400000US06013303204,"Census Tract 3032.04, Contra Costa County, California",2014,11,74,0,114,269,10,,
1400000US06013303205,"Census Tract 3032.05, Contra Costa County, California",2014,89,74,51,65,60,30,,
1400000US06013304001,"Census Tract 3040.01, Contra Costa County, California",2014,39,30,33,0,171,0,,
1400000US06013304002,"Census Tract 3040.02, Contra Costa County, California",2014,27,5,28,15,43,106,,
1400000US06013304003,"Census Tract 3040.03, Contra Costa County, California",2014,0,33,52,50,73,147,,
1400000US06013304004,"Census Tract 3040.04, Contra Costa County, California",2014,64,50,0,10,40,9,,
1400000US06013304005,"Census Tract 3040.05, Contra Costa County, California",2014,48,47,78,75,126,36,,
1400000US06013305000,"Census Tract 3050, Contra Costa County, California",2014,79,232,297,177,832,35,,
1400000US06013306002,"Census Tract 3060.02, Contra Costa County, California",2014,8,34,8,30,35,42,,
1400000US06013306003,"Census Tract 3060.03, Contra Costa County, California",2014,72,45,88,19,560,49,,
1400000US06013306004,"Census Tract 3060.04, Contra Costa County, California",2014,19,111,62,19,277,14,,
1400000US06013307101,"Census Tract 3071.01, Contra Costa County, California",2014,55,8,45,113,208,22,,
1400000US06013307102,"Census Tract 3071.02, Contra Costa County, California",2014,41,52,18,9,601,21,,
1400000US06013307201,"Census Tract 3072.01, Contra Costa County, California",2014,35,56,57,0,385,16,,
1400000US06013307202,"Census Tract 3072.02, Contra Costa County, California",2014,109,95,147,64,691,8,,
1400000US06013307204,"Census Tract 3072.04, Contra Costa County, California",2014,34,44,38,18,203,0,,
1400000US06013307205,"Census Tract 3072.05, Contra Costa County, California",2014,147,118,181,116,725,14,,
1400000US06013308001,"Census Tract 3080.01, Contra Costa County, California",2014,36,35,183,75,354,31,,
1400000US06013308002,"Census Tract 3080.02, Contra Costa County, California",2014,36,0,77,0,121,0,,
1400000US06013309000,"Census Tract 3090, Contra Costa County, California",2014,15,60,10,51,282,0,,
1400000US06013310000,"Census Tract 3100, Contra Costa County, California",2014,12,88,114,121,432,21,,
1400000US06013311000,"Census Tract 3110, Contra Costa County, California",2014,35,37,52,11,402,25,,
1400000US06013312000,"Census Tract 3120, Contra Costa County, California",2014,36,27,64,53,191,64,,
1400000US06013313101,"Census Tract 3131.01, Contra Costa County, California",2014,146,173,148,95,688,61,,
1400000US06013313102,"Census Tract 3131.02, Contra Costa County, California",2014,43,29,49,54,244,19,,
1400000US06013313103,"Census Tract 3131.03, Contra Costa County, California",2014,155,242,77,55,318,15,,
1400000US06013313203,"Census Tract 3132.03, Contra Costa County, California",2014,14,52,51,14,113,6,,
1400000US06013313204,"Census Tract 3132.04, Contra Costa County, California",2014,52,76,52,0,495,15,,
1400000US06013313205,"Census Tract 3132.05, Contra Costa County, California",2014,10,0,13,0,109,0,,
1400000US06013313206,"Census Tract 3132.06, Contra Costa County, California",2014,49,131,56,60,318,107,,
1400000US06013314102,"Census Tract 3141.02, Contra Costa County, California",2014,45,39,33,0,278,7,,
1400000US06013314103,"Census Tract 3141.03, Contra Costa County, California",2014,60,102,70,33,597,49,,
1400000US06013314104,"Census Tract 3141.04, Contra Costa County, California",2014,57,21,63,164,846,106,,
1400000US06013314200,"Census Tract 3142, Contra Costa County, California",2014,61,61,27,31,407,22,,
1400000US06013315000,"Census Tract 3150, Contra Costa County, California",2014,35,31,0,32,204,0,,
1400000US06013316000,"Census Tract 3160, Contra Costa County, California",2014,59,50,0,46,132,8,,
1400000US06013317000,"Census Tract 3170, Contra Costa County, California",2014,4,28,97,60,283,35,,
1400000US06013318000,"Census Tract 3180, Contra Costa County, California",2014,48,107,101,61,278,11,,
1400000US06013319000,"Census Tract 3190, Contra Costa County, California",2014,146,287,115,72,763,47,,
1400000US06013320001,"Census Tract 3200.01, Contra Costa County, California",2014,44,92,89,85,140,20,,
1400000US06013320003,"Census Tract 3200.03, Contra Costa County, California",2014,16,45,0,27,30,0,,
1400000US06013320004,"Census Tract 3200.04, Contra Costa County, California",2014,61,192,88,32,323,73,,
1400000US06013321101,"Census Tract 3211.01, Contra Costa County, California",2014,63,134,83,92,328,12,,
1400000US06013321102,"Census Tract 3211.02, Contra Costa County, California",2014,32,118,105,31,109,0,,
1400000US06013321103,"Census Tract 3211.03, Contra Costa County, California",2014,56,78,37,61,53,0,,
1400000US06013321200,"Census Tract 3212, Contra Costa County, California",2014,104,99,130,72,586,142,,
1400000US06013322000,"Census Tract 3220, Contra Costa County, California",2014,78,81,75,68,394,95,,
1400000US06013323000,"Census Tract 3230, Contra Costa County, California",2014,14,82,58,0,194,8,,
1400000US06013324001,"Census Tract 3240.01, Contra Costa County, California",2014,326,457,152,204,948,16,,
1400000US06013324002,"Census Tract 3240.02, Contra Costa County, California",2014,47,306,349,222,600,17,,
1400000US06013325000,"Census Tract 3250, Contra Costa County, California",2014,75,13,146,92,352,39,,
1400000US06013326000,"Census Tract 3260, Contra Costa County, California",2014,10,38,43,33,214,10,,
1400000US06013327000,"Census Tract 3270, Contra Costa County, California",2014,168,137,98,214,237,26,,
1400000US06013328000,"Census Tract 3280, Contra Costa County, California",2014,73,107,189,100,734,117,,
1400000US06013329000,"Census Tract 3290, Contra Costa County, California",2014,135,37,31,86,305,28,,
1400000US06013330000,"Census Tract 3300, Contra Costa County, California",2014,26,67,125,57,302,63,,
1400000US06013331000,"Census Tract 3310, Contra Costa County, California",2014,205,177,200,64,439,39,,
